chunk_id,document_id,document_title,filename,source_url,doc_type,topic,chunk_order,chunk_text
11,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,10,"23. на отсрочку от призыва на военную службу, предоставляемую в соответствии с Федеральным законом «О воинской обязанности и военной службе»;
3.2.24. на академический отпуск в порядке и по основаниям, установленным законодательством Российской Федерации и локальными нормативными актами НИУ ВШЭ, а также отпуск по беременности и родам, отпуск по уходу за ребенком до достижения им возраста трех лет в порядке, установленном законодательством Российской Федерации;
3.2.25. на получение от университета информации о положении в сфере занятости населения в Российской Федерации по осваиваемым ими специальностям и направлениям подготовки;
3.2.26. на совмещение получения образования в университете с работой без ущерба для освоения образовательной программы, выполнения индивидуального учебного плана;
3.2.27. иные академические права, предусмотренные законодательством Российской Федерации об образовании, локальными нормативными актами университета.
3.3. Обучающимся университета (в соответствии с категориями обучающихся, установленными законодательством об образовании и локальными нормативными актами НИУ ВШЭ обучающихся) могут быть предоставлены следующие меры социальной поддержки и"
12,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,11,"ветствии с категориями обучающихся, установленными законодательством об образовании и локальными нормативными актами НИУ ВШЭ обучающихся) могут быть предоставлены следующие меры социальной поддержки и стимулирования:
3.3.1. полное государственное обеспечение, в том числе обеспечение одеждой, обувью, жестким и мягким инвентарем, в случаях и в порядке, которые установлены федеральными законами, законами субъектов Российской Федерации;
3.3.2. обеспечение питанием в случаях и в порядке, которые установлены федеральными законами, законами субъектов Российской Федерации;
3.3.3. транспортное обеспечение в соответствии с Федеральным законом «Об образовании в Российской Федерации»;
3.3.4. иные меры социальной поддержки, предусмотренные законодательством Российской Федерации и локальными нормативными актами университета.
3.4. Отдельным категориям обучающихся, установленным законодательством об образовании и локальными нормативными актами НИУ ВШЭ, помимо мер поддержки, предусмотренных пунктом 3.3 Правил, могут предоставляться такие меры поддержки, как:
3.4.1. получение стипендий, материальной помощи и других денежных выплат, предусмотренных законодательством Российской Федерации;
3.4.2."
13,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,12,"ом 3.3 Правил, могут предоставляться такие меры поддержки, как:
3.4.1. получение стипендий, материальной помощи и других денежных выплат, предусмотренных законодательством Российской Федерации;
3.4.2. предоставление в соответствии с законодательством Российской Федерации жилых помещений в общежитиях университета.
3.5. Обучающиеся университета обязаны:
3.5.1. выполнять требования законодательства Российской Федерации, устава университета, Правил, Правил внутреннего распорядка студенческого общежития, Правил пользования библиотекой и иных локальных нормативных актов университета, в том числе регламентирующих организацию и осуществление образовательной деятельности;
3.5.3. соблюдать правила, установленные руководством структурных подразделений, реализующих образовательные программы, осваиваемые обучающимися, а также должностными лицами и органами, осуществляющими управление соответствующими образовательными программами, при условии, что эти правила соответствуют законодательству Российской Федерации, локальным нормативным актам университета, установлены в пределах компетенции соответствующих должностных лиц и органов и своевременно доведены до сведения обучающихся;
3.5.4. не"
14,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,13,"Российской Федерации, локальным нормативным актам университета, установлены в пределах компетенции соответствующих должностных лиц и органов и своевременно доведены до сведения обучающихся;
3.5.4. не нарушать академические нормы при выполнении учебных и (или) научных работ, в том числе в ходе участия в качестве обучающегося НИУ ВШЭ в конкурсах, олимпиадах и прочих внешних мероприятиях за пределами университета, в том числе не допускать:
3.5.4.1. списывания. Списывание определяется как использование обучающимся любых не разрешенных преподавателем (организатором мероприятия) письменных (печатных или рукописных) источников, в том числе электронных или других автоматических средств передачи данных, а также обнаружение у обучающегося указанных материалов (средств), вне зависимости от того, были ли они использованы обучающимся при выполнении письменной работы или при подготовке к ответу в устной форме;
3.5.4.2. двойной сдачи письменных работ. Двойная сдача определяется как представление одного и того же текста в качестве разных письменных работ одним обучающимся или разными обучающимися. Двойной сдачей не считается использование ранее подготовленного текста как части более объемной"
15,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,14,"ие одного и того же текста в качестве разных письменных работ одним обучающимся или разными обучающимися. Двойной сдачей не считается использование ранее подготовленного текста как части более объемной работы с согласия педагогического/научного работника, осуществляющего руководство письменной работой, в которую включен соответствующий ранее подготовленный текст;
3.5.4.3. плагиата. Плагиат определяется как использование в письменной работе чужого текста или иного объекта авторских прав, опубликованного в бумажном или электронном виде, без полной ссылки (то есть без указания имени автора и источника заимствования) или со ссылками, но так, что объем и характер заимствований ставят под сомнение самостоятельность выполненной работы или одного из ее основных разделов. Плагиат может быть реализован в одной из следующих форм:
а) дословное изложение чужого текста;
б) полное использование иного объекта авторских прав;
в) парафраза – изложение чужого текста с заменой слов и выражений без изменения содержания заимствованного текста.
Дословное изложение чужого текса и парафраз признается плагиатом также в случае перевода текста с иностранного языка. Не считается плагиатом использование чужих"
16,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,15,"ения содержания заимствованного текста.
Дословное изложение чужого текса и парафраз признается плагиатом также в случае перевода текста с иностранного языка. Не считается плагиатом использование чужих источников/текста при подготовке учебных работ по образовательным программам, связанным с издательским делом/дизайном.
3.5.4.6. использования подсказок, применения технических, автоматических или иных средств для выполнения письменных или устных работ, получения информации из любых источников либо от других лиц. Использованием подсказок признается также обнаружение у обучающегося при выполнении письменных и устных работ шпаргалок, технических, автоматических и иных средств, запрещенных к использованию при выполнении соответствующей работы, вне зависимости от того, успел ли обучающийся ими воспользоваться;
3.5.4.7. иных нарушений интеллектуальных (авторских, смежных, патентных и т.п.) прав;
3.5.5. своевременно в письменной форме ставить в известность работника или структурное подразделение университета, осуществляющее сопровождение учебного процесса, о необходимости отсутствия на учебных занятиях (более двух учебных дней подряд), практической подготовке, мероприятиях текущего"
17,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,16,"разделение университета, осуществляющее сопровождение учебного процесса, о необходимости отсутствия на учебных занятиях (более двух учебных дней подряд), практической подготовке, мероприятиях текущего контроля успеваемости, промежуточной или итоговой аттестации по уважительной причине в порядке, установленном локальными нормативными актами НИУ ВШЭ с представлением документов, подтверждающих уважительность причины пропуска занятий;
3.5.6. соблюдать порядок прохождения текущего контроля успеваемости, промежуточной или итоговой аттестации, ликвидации академических задолженностей, установленный в университете;
3.5.7. бережно относиться к имуществу университета (в том числе к имуществу третьих лиц, находящемуся в университете, если университет несет ответственность за сохранность этого имущества), возмещать причиненный ущерб в размере и порядке, установленном законодательством Российской Федерации, не допускать порчу имущества и намеренное искажение внешнего облика зданий и помещений университета, а также без разрешения администрации университета выносить предметы и различное оборудование из учебных и других помещений;
3.5.8. при проходе в здания университета и (или) нахождении в"
18,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,17,"университета, а также без разрешения администрации университета выносить предметы и различное оборудование из учебных и других помещений;
3.5.8. при проходе в здания университета и (или) нахождении в помещениях университета иметь при себе документ, подтверждающий обучение в Университете (студенческий билет, удостоверение аспиранта, ученический билет и т.д.) и (или) электронный пропуск (последний - при наличии), предъявлять любой из документов, дающих право на вход на объекты НИУ ВШЭ в соответствии с Положением о внутриобъектовом и пропускном режиме на объектах НИУ ВШЭ по требованию уполномоченных работников НИУ ВШЭ и работников охраны, в случае наличия у указанных работников обоснованных подозрений в нарушении обучающимся Правил, а равно при наличии оснований, предусмотренных законодательством Российской Федерации, и при условии указания соответствующим работником своей должности, фамилии, имени, отчества; бережно и аккуратно хранить студенческий билет, удостоверение аспиранта, ученический билет, электронный пропуск, не передавать их третьим лицам, и не использовать указанные документы третьих лиц для совершения действий в своих интересах или интересах третьих лиц;
3.5.9."
19,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,18,"та, ученический билет, электронный пропуск, не передавать их третьим лицам, и не использовать указанные документы третьих лиц для совершения действий в своих интересах или интересах третьих лиц;
3.5.9. принимать участие в процедурах регулярной оценки качества реализации образовательных программ в порядке и сроки, утвержденные локальными нормативными актами университета;
3.5.10. заботиться о сохранении и об укреплении своего здоровья, стремиться к нравственному, духовному и физическому развитию и самосовершенствованию;
3.5.11. уважать честь и достоинство других обучающихся, работников и посетителей университета, в том числе не совершать действий по запугиванию, преследованию, понуждению к совершению каких-либо действий, не вторгаться в их частную жизнь и не допускать оскорблений, не проявлять агрессию, не создавать препятствий для получения образования другими обучающимися;
3.5.12. не препятствовать работе университета, его органов управления, структурных подразделений и должностных лиц, в том числе путем:
3.5.12.1. многократных обращений в адрес университета, его уполномоченных органов и должностных лиц по одним и тем же вопросам без указания новых фактов и обстоятельств, притом,"
20,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,19,"иц, в том числе путем:
3.5.12.1. многократных обращений в адрес университета, его уполномоченных органов и должностных лиц по одним и тем же вопросам без указания новых фактов и обстоятельств, притом, что на вопросы, изложенные в обращениях, заявителю уже даны ответы по существу;
3.5.12.2. создания помех для передвижения других обучающихся и работников университета по коридорам университета и для доступа других обучающихся и работников университета в помещения, здания университета, на прилегающие к ним территории и (или) иные территории;
3.5.12.3. воспрепятствования осуществлению образовательной деятельности в порядке, установленном законодательством Российской Федерации и/или локальными нормативными актами университета, в том числе вмешательства какими-либо способами в проведение университетом текущего контроля успеваемости, промежуточной или итоговой аттестации обучающихся;
3.5.13. не предоставлять подложные (поддельные) документы;
3.5.14. не совершать противоправные деяния, имеющие социально-опасные последствия, в том числе для университета, его обучающихся и работников;
3.5.15. не причинять вред деловой репутации университета, в том числе не распространять сведения, порочащие"
